kieu,span_train,span_dev,dung,sai_lan_kieu,thieu_sot_bien,thua_bia_ra,precision,recall,f1,trang_thai,nguyen_nhan,bi_lan_sang,vi_du_noi,vi_du_viet,vi_du_mo_hinh_lam_dung,vi_du_mo_hinh_lam_sai,vi_du_khac,f1_dev_tong_hop,span_dev_tong_hop,f1_truoc,thay_doi,span_train_truoc,viec_can_lam
LOCATION_NAME,1157,150,138,1,11,13,0.885,0.92,0.902,ĐẠT,sót biên,FOREIGN_NAME:1,bắc,Bắc,bắc; hồng cúm,xuân (không khoanh ra); kharkov -> đoán FOREIGN_NAME,hồng cúm -> Hồng Cúm; quảng trị -> Quảng Trị; xuân -> Xuân; phú quốc -> Phú Quốc; sài gòn -> Sài Gòn; việt nam -> Việt Nam; kharkov -> Kharkov; ukraine -> Ukrai,0.98,99,0.638,0.264,209,đạt — không cần thêm
PERSON_NAME,1570,102,88,5,9,3,0.967,0.863,0.912,ĐẠT,sót biên,LOCATION_NAME:5,hồ thị bi,Hồ Thị Bi,hồ thị bi; phùng văn khầu,pao (không khoanh ra); bác (không khoanh ra),phùng văn khầu -> Phùng Văn Khầu; pao -> Pao; la văn cầu -> La Văn Cầu; la văn cầu -> La Văn Cầu; la văn cầu -> La Văn Cầu; la văn cầu -> La Văn Cầu; la văn cầu,1.0,121,0.487,0.425,197,đạt — không cần thêm
CARDINAL,1038,64,55,2,7,9,0.786,0.859,0.821,ĐẠT,sót biên,EQUIPMENT_ID:1; DATE:1,ba trăm,300,ba trăm; hai,mười một (không khoanh ra); mười hai (không khoanh ra),hai -> 2; mười bảy -> 17; ba -> 3; ba -> 3; tám mươi -> 80; mười một -> 11; mười hai -> 12; mười một -> 11; sáu mươi bảy -> 67; tám mươi -> 80; một trăm tám mươ,1.0,105,0.03,0.791,129,đạt — không cần thêm
DATE,697,29,23,0,6,7,0.742,0.793,0.767,ĐẠT,sót biên,,năm một nghìn chín trăm ba mươi bảy,1937,năm một nghìn chín trăm ba mươi bảy; một nghìn chín trăm bảy mươi mốt,một nghìn chín trăm bảy mươi hai (không khoanh ra); ngày hai mươi chín bốn một nghìn chín trăm bảy mươi lăm (không khoanh ra),một nghìn chín trăm bảy mươi mốt -> 1971; một nghìn chín trăm bảy mươi hai -> 1972; năm một nghìn chín trăm bảy mươi một nghìn chín trăm bảy mươi mốt -> 972971;,1.0,114,0.286,0.481,50,sót biên — cần câu dài/nhiều span hơn
ACRONYM,1268,17,12,3,2,0,0.923,0.706,0.8,ĐẠT,lẫn kiểu,CALLSIGN:2; FOREIGN_NAME:1,k c b,KCB,k c b; k c b,đ v t n -> đoán CALLSIGN; ủy ban nhân dân (không khoanh ra),hát ép -> HF; đ v t n -> ĐVTN; đ v t n -> ĐVTN; đ v t n -> ĐVTN; ủy ban nhân dân -> UBND; u bê en đê -> UBND; s s c đ -> SSCĐ; giê pê ét -> GPS; em ép -> MF; v ,0.992,118,0.0,0.8,25,đạt — không cần thêm
MEASURE,1135,13,13,0,0,2,0.591,1.0,0.743,ĐẠT,lẫn kiểu,,hai mươi ki lô mét,20 km,hai mươi ki lô mét; hai trăm hải lý,(không có),"hai trăm hải lý -> 200 NM; sáu mươi ký -> 60 kg; sáu phẩy tám bar -> 6,8 bar; mười hai ký -> 12 kg; ba phẩy tám bar -> 3,8 bar; ba phẩy tám bar -> 3,8 bar; hai ",1.0,98,0.0,0.743,28,sót biên — cần câu dài/nhiều span hơn
IMO_ID,551,11,11,0,0,0,1.0,1.0,1.0,ĐẠT,lẫn kiểu,,i em ô không một hai ba bốn năm sáu,IMO 0123456,i em ô không một hai ba bốn năm sáu; i em ô tám chín không một hai ba bốn,(không có),i em ô tám chín không một hai ba bốn -> IMO 8901234; i em ô bốn năm sáu bảy tám chín không -> IMO 4567890; i em ô bảy bảy tám tám chín chín không -> IMO 7788990,1.0,112,0.0,1.0,22,đạt — không cần thêm
DIGIT_SEQ,911,8,5,0,3,1,0.5,0.625,0.556,ĐẠT,sót biên,,không chín một năm,0915,không chín một năm; tám hai ba một,ba mươi (không khoanh ra); bảy bốn năm sáu (không khoanh ra),tám hai ba một -> 8231; ba mươi -> 30; không chín sáu năm -> 0965; bảy tám chín không -> 7890; bảy bốn năm sáu -> 7456; một -> 1; không chín năm sáu -> 0956; ha,1.0,100,0.0,0.556,9,sót biên — cần câu dài/nhiều span hơn
FRACTION,734,8,4,4,0,0,0.571,0.5,0.533,ĐẠT,lẫn kiểu,CARDINAL:4,hai phần ba,2/3,một phần tư; một phần tư,hai phần ba -> đoán CARDINAL; hai phần ba -> đoán CARDINAL,một phần tư -> 1/4; một phần tư -> 1/4; một phần tư -> 1/4; một phần tư -> 1/4; hai phần năm -> 2/5; một phần ba -> 1/3; một phần ba -> 1/3; hai phần năm -> 2/5,1.0,104,0.0,0.533,3,lẫn kiểu — cần mẫu PHÂN BIỆT với CARDINAL
EQUIPMENT_ID,549,8,7,0,1,0,0.875,0.875,0.875,ĐẠT,sót biên,,bê năm mươi hai,B-52,bê năm mươi hai; bê năm mươi hai,míc hai mốt (không khoanh ra),pê tám không không -> P-800; xu ba mươi -> Su-30; tê chín không -> T-90; su ba mươi em ka hai -> Su-30MK2; míc hai mốt -> MiG-21; mờ bốn a một -> M4A1; a ka bốn,1.0,111,0.0,0.875,18,đạt — không cần thêm
